name,experiencedtasks
Barbablue,0
Barbabo,0
Barbabrava,0
Barbaforte,0
Barbakus,0
Barbaletta,0
Barbamama,0
Barbarix,0
Barbarock,0
Barbaroll,0
Barbashy,0
Barbawum,0
Conan,0
Craken,0
Gabbana,2
Garbo,0
Garetta,0
Gin,0
Ginger,0
Grappa,0
Greta,0
Guapa,0
Jaja,4
Jala,2
Jam,0
Jamaica,1
Jambi,1
James,2
Jandira,1
Jelly,0
John,1
Jupie,3
Lancia,3
Lars,1
Lea,3
Lex,5
Lexus,4
Lily,3
Lima,1
Lola,3
Lotus,3
Lynx,0
Madame,0
Madita,0
Manuka,0
Mars,1
Marvin,5
Membo,3
Merkur,2
Mibba,3
Mina,3
Mojita,1
Mulan,0
Nala,2
Nando,3
Narnia,0
Nautilus,3
Nebula,3
Nirvana,0
Nougat,0
Nox,0
Nuno,3
Nutella,0
Nux,1
Tabor,7
Tamino,0
Vesta,11
Vito,9
Wasabi,0
Washington,0
Werewolf,0
Wisconsin,1
Wolverine,0
Wombat,0
Nikita,1
Puk,1
Ninja,0
Nunchaka,1
Nashi ,1
Nori,1